"Date","Price","Open","High","Low","Vol.","Change %"
"08/13/2023","216.90","240.30","241.80","213.50","3.56M","-9.70%"
"08/20/2023","216.50","216.90","220.50","203.80","3.73M","-0.19%"
"08/27/2023","214.50","216.50","233.50","211.42","2.93M","-0.92%"
"09/03/2023","214.10","214.50","218.40","212.20","1.76M","-0.18%"
"09/10/2023","214.90","214.10","215.80","204.19","2.72M","0.37%"
"09/17/2023","210.50","214.90","221.20","209.21","2.58M","-2.05%"
"09/24/2023","214.50","210.50","217.49","207.00","2.35M","1.90%"
"10/01/2023","212.30","214.50","221.40","210.20","2.43M","-1.03%"
"10/08/2023","206.60","212.30","212.70","202.99","2.85M","-2.68%"
"10/15/2023","214.10","206.60","218.79","206.40","2.81M","3.63%"
"10/22/2023","225.70","214.10","237.49","213.60","5.61M","5.42%"
"10/29/2023","237.10","225.70","238.60","222.60","3.58M","5.05%"
"11/05/2023","251.59","237.10","257.90","236.10","5.92M","6.11%"
"11/12/2023","244.80","251.59","255.60","235.42","6.24M","-2.70%"
"11/19/2023","234.50","244.80","271.14","224.11","9.87M","-4.21%"
"11/26/2023","229.10","234.50","234.50","222.90","3.48M","-2.30%"
"12/03/2023","237.50","229.10","245.20","226.00","6.25M","3.67%"
"12/10/2023","244.40","237.50","257.00","228.99","7.79M","2.91%"
"12/17/2023","270.80","244.40","276.20","232.11","7.41M","10.80%"
"12/24/2023","316.60","270.80","337.89","261.71","10.64M","16.91%"
"12/31/2023","307.30","316.60","333.69","295.60","8.10M","-2.94%"
"01/07/2024","302.10","307.59","316.70","289.02","7.22M","-1.69%"
"01/14/2024","317.30","302.10","319.79","298.81","6.82M","5.03%"
"01/21/2024","305.70","317.30","321.70","287.60","5.30M","-3.66%"
"01/28/2024","299.60","305.70","313.10","296.61","2.74M","-1.99%"
"02/04/2024","323.10","299.60","325.99","298.00","4.07M","7.84%"
"02/11/2024","352.90","323.10","366.10","315.70","5.28M","9.22%"
"02/18/2024","381.70","352.90","387.09","345.32","7.57M","8.16%"
"02/25/2024","410.89","381.70","426.79","378.00","6.56M","7.65%"
"03/03/2024","488.30","410.89","493.68","362.15","10.89M","18.84%"
"03/10/2024","576.52","488.30","641.80","485.00","16.72M","18.07%"
"03/17/2024","552.10","576.52","590.11","498.61","11.66M","-4.24%"
"03/24/2024","600.79","552.10","619.89","549.00","5.33M","8.82%"
"03/31/2024","585.69","600.79","608.69","539.70","5.15M","-2.51%"
"04/07/2024","552.56","585.59","627.68","510.84","6.27M","-5.66%"
"04/14/2024","570.80","553.03","585.39","513.40","4.87M","3.30%"
"04/21/2024","596.18","570.70","618.33","566.60","3.27M","4.45%"
"04/28/2024","585.58","596.18","608.19","537.50","3.23M","-1.78%"
"05/05/2024","592.20","585.58","603.31","575.37","2.19M","1.13%"
"05/12/2024","580.30","592.20","599.38","561.21","2.41M","-2.01%"
"05/19/2024","602.39","580.30","629.98","569.40","3.28M","3.81%"
"05/26/2024","601.80","602.39","614.00","586.60","1.46M","-0.10%"
"06/02/2024","682.70","601.80","720.75","596.20","4.18M","13.44%"
"06/09/2024","608.19","682.70","684.78","590.20","2.99M","-10.91%"
"06/16/2024","591.00","608.19","612.50","575.32","1.82M","-2.83%"
"06/23/2024","570.39","591.00","592.99","552.21","1.52M","-3.49%"
"06/30/2024","526.98","570.39","588.20","456.33","3.37M","-7.61%"
"07/07/2024","532.30","525.91","542.79","471.60","1.99M","1.01%"
"07/14/2024","593.10","532.30","598.10","531.70","1.92M","11.42%"
"07/21/2024","581.20","593.10","605.48","554.20","1.46M","-2.01%"
"07/28/2024","529.41","581.59","597.10","521.69","1.58M","-8.91%"
"08/04/2024","523.10","529.41","532.10","404.53","4.33M","-1.19%"
"08/11/2024","541.70","523.10","547.47","499.90","1.68M","3.56%"
"08/18/2024","580.42","541.70","597.22","529.39","2.47M","7.15%"
"08/25/2024","532.90","580.42","583.77","522.65","1.74M","-8.19%"
"09/01/2024","493.49","532.90","538.30","472.09","2.15M","-7.40%"
"09/08/2024","553.40","493.49","559.29","490.81","1.63M","12.14%"
"09/15/2024","588.51","553.40","590.00","527.27","1.79M","6.34%"
"09/22/2024","601.12","588.51","617.86","576.68","2.21M","2.14%"
"09/29/2024","556.10","601.12","602.61","534.70","1.77M","-7.49%"
